Num_Threads,n_x,n_y,x_L,y_L,x_R,y_R,I_max,Calc_Time
4,9000,5845,-2.000000,-1.000000,1.000000,1.000000,255,17.875123
8,9000,5845,-2.000000,-1.000000,1.000000,1.000000,255,12.579708
16,9000,5845,-2.000000,-1.000000,1.000000,1.000000,255,10.678086
32,9000,5845,-2.000000,-1.000000,1.000000,1.000000,255,10.549504
64,9000,5845,-2.000000,-1.000000,1.000000,1.000000,255,5.415016
128,9000,5845,-2.000000,-1.000000,1.000000,1.000000,255,3.018598
4,9000,5845,-2.000000,-1.000000,1.000000,1.000000,65565,2295.288926
8,9000,5845,-2.000000,-1.000000,1.000000,1.000000,65565,1148.273495
16,9000,5845,-2.000000,-1.000000,1.000000,1.000000,65565,576.104750
32,9000,5845,-2.000000,-1.000000,1.000000,1.000000,65565,291.211639
64,9000,5845,-2.000000,-1.000000,1.000000,1.000000,65565,145.500524
128,9000,5845,-2.000000,-1.000000,1.000000,1.000000,65565,72.877109
